identifiant;libelle_du_site;caracteristique_du_site;adresse;complement_d_adresse;lieu_dit;code_postal;localite;pays;latitude;longitude;latlon;precision_du_geocodage;numero_de_telephone;changeur_de_monnaie;distributeur_de_billets;distributeur_de_timbres;photocopie;distributeur_pret_a_poster;affranchissement_libre_service;bornes_de_rechargement_moneo;accessibilite_absence_de_ressaut_de_plus_de_2_cm_de_haut;accessibilite_automate_d_affranchissement_avec_prise_audio;accessibilite_boucle_magnetique_en_etat_de_fonctionnement;accessibilite_distributeur_de_billets_avec_prise_audio;accessibilite_entree_autonome_en_fauteuil_roulant_possible;accessibilite_pas_d_escalier_ou_bandes_de_vigilance_presentes;accessibilite_presence_d_un_panneau_prioritaire;accessibilite_borne_sonore_en_etat_de_fonctionnement;accessibilite_espace_de_circulation_interieur_suffisant_pour_pmr;accessibilite_presence_d_un_espace_confidentiel_accessible_pmr;accessibilite_presence_d_un_gab_externe_accessible_pmr;accessibilite_presence_d_un_guichet_surbaisse_ou_d_un_ecritoire;accessibilite_presence_d_une_bande_de_guidage_au_sol
02282A;HOULGATE BP;Bureau de poste;2 BOULEVARD DES BELGES;;;14510.0;HOULGATE;FRANCE;49.300792;-0.075575;49.300792, -0.075575;Géocodé au numéro;3631.0;Non;Oui;Non;Non;Non;Non;Non;Oui;Non;Oui;Non;Oui;Non;Non;Non;Non;Oui;Oui;Oui;Non
02288A;LANGRUNE SUR MER BP;Bureau de poste;19 AVENUE DE LA LIBERATION;;;14830.0;LANGRUNE SUR MER;FRANCE;49.324055;-0.371354;49.324055, -0.371354;Géocodé au numéro;3631.0;Non;Oui;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non
02305A;MEZIDON CANON BP;Bureau de poste;PLACE SALVADOR ALLENDE;;;14270.0;MEZIDON CANON;FRANCE;49.0745;-0.077448;49.0745, -0.077448;Géocodé au numéro;3631.0;Oui;Non;Non;Oui;Non;Oui;Oui;Oui;Non;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Oui;Non
02306A;MONDEVILLE;Bureau de poste;9 RUE CHAPRON;;;14120.0;MONDEVILLE;FRANCE;49.175997;-0.321897;49.175997, -0.321897;Géocodé au numéro;3631.0;Non;Oui;Non;Oui;Non;Oui;Oui;Oui;Non;Oui;Non;Oui;Non;Oui;Non;Oui;Oui;Oui;Oui;Oui
02310A;NEUILLY LA FORET AP;Agence postale;LE BOURG;;;14230.0;NEUILLY LA FORET;FRANCE;49.271795;-1.10023;49.271795, -1.10023;Géocodé au centre de la commune;231228242.0;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
02315A;PONT FARCY AP;Agence postale;LE BOURG;;;14380.0;PONT FARCY;FRANCE;48.936593;-1.035676;48.936593, -1.035676;Géocodé au centre de la commune;231689458.0;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
02324A;SAINT AUBIN SUR MER BP;Bureau de poste;PLACE DE LA GARE;;;14750.0;ST AUBIN SUR MER;FRANCE;49.32784;-0.391247;49.32784, -0.391247;Géocodé au numéro;3631.0;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Oui;Non;Oui;Non;Non;Non;Non;Oui;Non;Non;Non
02328A;SAINTE HONORINE DES PERTES AP;Agence postale;8 RUE DE LA MAIRIE;MAIRIE;;14520.0;STE HONORINE DES PERTES;FRANCE;49.346728;-0.808935;49.346728, -0.808935;Géocodé au numéro;231510943.0;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
02331A;SAINT JULIEN LE FAUCON AP;Relais poste commerçant;27 PLACE DU COMMERCE;BAR TABAC;;14140.0;ST JULIEN LE FAUCON;FRANCE;49.069497;0.085973;49.069497, 0.085973;Géocodé au numéro;231638222.0;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
02332A;SAINT LAURENT DE CONDEL AP;Relais poste commerçant;18 ROUTE NATIONALE;MME MELISSA CANTREL;;14220.0;ST LAURENT DE CONDEL;FRANCE;49.041192;-0.415646;49.041192, -0.415646;Géocodé au centre de la commune;231860499.0;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
02342A;SAINT REMY SUR ORNE AP;Agence postale;RUE DES ECOLES;;;14570.0;ST REMY;FRANCE;48.937791;-0.504332;48.937791, -0.504332;Géocodé au milieu de la rue;231682223.0;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
02347A;SANNERVILLE BP;Bureau de poste;PLACE EXMINSTER;;;14940.0;SANNERVILLE;FRANCE;49.180902;-0.22251;49.180902, -0.22251;Géocodé au numéro;3631.0;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non
02355A;TREVIERES BP;Bureau de poste;PLACE DU MARCHE;;;14710.0;TREVIERES;FRANCE;49.308957;-0.906016;49.308957, -0.906016;Géocodé au numéro;3631.0;Non;Oui;Non;Non;Non;Non;Non;Oui;Non;Oui;Non;Oui;Non;Non;Non;Non;Non;Oui;Non;Non
02357A;TROUVILLE SUR MER BP;Bureau de poste;25 RUE DES BAINS;;;14360.0;TROUVILLE SUR MER;FRANCE;49.366182;0.0812;49.366182, 0.0812;Géocodé au numéro;3631.0;Oui;Oui;Non;Oui;Non;Oui;Oui;Oui;Non;Oui;Non;Oui;Oui;Non;Non;Oui;Non;Non;Non;Non
02360A;LE HOME VARAVILLE AP;Agence postale;LE BOURG;;;14390.0;VARAVILLE;FRANCE;49.253704;-0.157734;49.253704, -0.157734;Géocodé au numéro;231787323.0;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
02363A;VER SUR MER BP;Bureau de poste;1 RUE DE LA 8E ARMEE;;;14114.0;VER SUR MER;FRANCE;49.335692;-0.526732;49.335692, -0.526732;Géocodé au numéro;3631.0;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non
02367A;VILLERVILLE BP;Bureau de poste;73 RUE BUTIN;;;14113.0;VILLERVILLE;FRANCE;49.399391;0.127396;49.399391, 0.127396;Géocodé au numéro;3631.0;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
02369A;PONT D OUILLY BP;Bureau de poste;PLACE DU MARCHE;LES HALLES;;14690.0;PONT D OUILLY;FRANCE;48.874494;-0.408685;48.874494, -0.408685;Géocodé au centre de la commune;3631.0;Non;Oui;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Oui;Oui;Non;Non;Non;Non;Non;Non;Non
02372A;FONTAINE ETOUPEFOUR AP;Agence postale;1 RUE DES ECOLES;;;14790.0;FONTAINE ETOUPEFOUR;FRANCE;49.145698;-0.455544;49.145698, -0.455544;Géocodé au numéro;231262227.0;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
